company_id,company_name,primary_use,year_opened,HQ,facility_name,size_sq_ft,size_acres,city,state,address1,address2,address3,postal,country
,AeroFarms,office,2015,true,,,,Newark,NJ,212 Rome St,,,07105,USA
,AeroFarms,farm,TBD,false,Cane Creek Centre,,,Danville,VA,,,,,
,AeroFarms,R&D,TBD,false,AgX,90000,,Abu Dhabi,,,,,,UAE
,AeroFarms,farm,2016,false,Global Headquarters,70000,,Newark,NJ,,,,,
,AeroFarms,farm,2015,false,,30000,,Newark,NJ,,,,,
,AeroFarms,,,,,,,,,,,,,
,AppHarvest,,,,,,,,,,,,,
,AppHarvest,,,,,,,,,,,,,
,AppHarvest,,,,,,,,,,,,,
,Little Leaf Farms,farm,,,,,10,Devens,MA,,,,01434,
,Brooklyn Grange,office,,,,NA,,Brooklyn,NY,63 Flushing Ave,"Brooklyn Navy Yard, Building 3",Suite 1105,11205,
,Brooklyn Grange,farm,,,,65000,1.50,Brooklyn,NY,63 Flushing Ave,"Brooklyn Navy Yard, Building 3",roof,,
,Farm.One,office,,,NA,NA,NA,New York,NY,77 Worth Street,,floor 1,10013,
,,,,,,,,,,,,,,
,Farm.One,farm,,,Tribeca,"1200 ",,New York,NY,77 Worth Street,,floor 1,10013,
,FreshBox Farms,farm,,true,,,,Millis,MA,"725 Main St. ",,,02054,
,Brooklyn Grange,farm,,,,"43000 ",0.92,Queens,NY,37-18 Northern Blvd,,roof,11101,
,East New York Farms,farm,,,Pink Houses Community Farm,,,Brooklyn,NY,,,,,
,East New York Farms,farm,,,UCC Youth Farm,,0.5,Brooklyn,NY,,,,,
,Farm.One,farm,,,The Farm at ICE,"400 ",,New York,NY,"225 Liberty Street ",Institute of Culinary  Education,Third Floor,10281,
,Oishii,office,,,,,,Kearny,NJ,1 Eastern Road,Suite 5,,07032,
,Brooklyn Grange,farm,,,,140000,3.20,Brooklyn,NY,850 3rd Ave,,roof,11232,
,Eagle Street Rooftop Farm,farm,,,,6000,,Brooklyn,NY,,,,,
,Farm.One,farm,,,Neighborhood Farm,10000,,Brooklyn,NY,625 Bergen St,,,11238,
,Gotham Greens,farm,,,Greenpoint,15000,,Brooklyn,NY,,,,,
,Gotham Greens,farm,,,Whole Foods Gowanus,20000,,Brooklyn,NY,,,,,
,Gotham Greens,farm,,,Jamaica,60000,,Queens,NY,,,,,
,Gotham Greens,farm,,,,75000,,Chicago,IL,720 E 111th St,,roof,60628,
,Gotham Greens,farm,,,,100000,,Chicago,IL,10636 S Woodlawn Ave,,,60628,
,Gotham Greens,farm,,,Providence,100000,,Providence,RI,,,,,
,Gotham Greens,farm,,,Baltimore,100000,,Sparrows Point,MD,2003 Reservoir Rd,,,21219,
,Gotham Greens,farm,,,Denver Metro,30000,,Aurora,CO,2503 Dallas St,,,80010,
,Gotham Greens,farm,,,Davis,100000,10,Davis,CA,,,,,
,Kalera,,,,,,,,,,,,,
,Kalera,,,,,,,,,,,,,
,Kalera,,,,,,,,,,,,,
,Kalera,,,,,,,,,,,,,
,Kalera,,,,,,,,,,,,,
,Gotham Greens,office,,,,NA,NA,Brooklyn,NY,315 3rd Ave,,,11215,
,Harlem Grown,farm,,,,,,,,,,,,
,Infarm,farm,,,,,,,,,,,,
,La Finca del Sur,farm,,,,,,,,,,,,
,Oishii,farm,,,,,,Kearny,NJ,1 Eastern Road,,,,
,Oishii,farm,,,,,,Kearny,NJ,1 Eastern Road,,,,
,Phoenix Community Garden,farm,,,,,,,,,,,,
,Plenty,farm,2018,,San Franciscio,,,,,,,,,
,Plenty,farm,,,,,,,,,,,,
,Queens County Farm Museum,farm,,,,,,,,,,,,
,Plenty,farm,TBD,,Compton,95000,,,,,,,,
,Plenty,R&D,,,Laramie,,,,,,,,,
,Rabbit's Garden,farm,,,,,,,,,,,,
,Red Hook Farms,farm,,,,,,,,,,,,
,Rooftop Reds,farm,,,,,,,,,,,,
,Sky Vegetables,farm,,,,"8,000 ",,Bronx,NY,"1071 TINTON AVENUE
",,,,
,Sky Vegetables,office,,,,,,Bronx,NY,"1071 TINTON AVENUE
",,,10456,
,Square Roots,farm,,,,,,Brooklyn,NY,,,,,
,Square Roots,farm,,,,,,Grand Rapids,MI,,,,,
,Square Roots,office,,,,,,Brooklyn,NY,630 Flushing Ave.,,,11206,
